Group,Year,Month,DayOfWeek,Wounded,Killed,Weapon,Region,Country,Target,MaleAttackers,FemaleAttackers
Syrian Tawhid and Jihad,2006,11,2,2,0,Belt bomb,Asia,Syria,Security,1,0
Hamas,2001,12,3,4,0,Belt bomb,Asia,Palestine,Civilian,2,0
Unknown Group,2016,1,4,0,0,Unspecified,Asia,Pakistan,Security,1,0
Unknown Group,2007,6,5,5,10,Belt bomb,Asia,Afghanistan,Security,1,0
Hamas,2002,8,7,52,9,Belt bomb,Asia,Israel,Civilian,1,0
Ansar Beit al-Maqdis,2013,9,4,22,1,Car bomb,Africa,Egypt,Political,1,0
Liberation Tigers of Tamil Eelam,1995,10,2,6,9,Scuba bomb,Asia,Sri Lanka,Security,3,0
Taliban (IEA),2011,1,5,13,9,Belt bomb,Asia,Afghanistan,Security,1,0
Islamic State,2017,2,5,100,60,Car bomb,Asia,Syria,Security,1,0
Teyr_baz_n Azadiya Kurdistan,2010,10,7,32,0,Other PBIED,Asia,Turkey,Security,1,0
Taliban (IEA),2010,11,6,8,1,Motorcycle bomb,Asia,Afghanistan,Civilian,1,0
Al-Aqsa Martyrs Brigade,2008,5,4,0,0,Truck bomb,Asia,Palestine,Security,1,0
Palestinian Islamic Jihad,2008,5,4,0,0,Truck bomb,Asia,Palestine,Security,1,0
Palestinian Islamic Jihad,1994,11,5,9,3,Motorcycle bomb,Asia,Palestine,Security,1,0
Islamic State,2014,9,4,31,15,Car bomb,Asia,Iraq,Security,2,0
Unknown Group,2009,1,7,28,7,Belt bomb,Asia,Pakistan,Security,1,0
Unknown Group,2012,1,7,16,7,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2001,9,7,13,0,Car bomb,Asia,Israel,Civilian,1,0
Unknown Group,2006,4,5,7,0,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2009,9,6,3,2,Belt bomb,Asia,Afghanistan,Civilian,0,1
Hizb-i-Islami,2012,9,2,0,9,Car bomb,Asia,Afghanistan,Civilian,0,1
Liberation Tigers of Tamil Eelam,2008,3,6,0,10,Boat bomb,Asia,Sri Lanka,Security,3,0
Boko Haram (Shekau Faction),2018,1,5,5,3,Unspecified PBIED,Africa,Nigeria,Civilian,1,0
Unknown Group,2007,5,3,5,7,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2007,2,3,6,3,Motorcycle bomb,Asia,Afghanistan,Security,1,0
Ahrar al-Sham,2016,5,1,16,16,Belt bomb,Asia,Syria,Civilian,1,0
Islamic State,2016,5,1,16,16,Belt bomb,Asia,Syria,Civilian,1,0
Taliban (IEA),2017,7,4,6,0,Truck bomb,Asia,Afghanistan,Security,1,0
Taliban (IEA),2009,7,1,14,3,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2008,1,2,5,2,Belt bomb,Asia,Iraq,Security,1,0
Taliban (IEA),2008,5,1,5,0,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2009,3,5,170,76,Belt bomb,Asia,Pakistan,Security,1,0
Jaish-e-Muhammad,2003,12,4,52,20,Car bomb,Asia,Pakistan,Political,2,0
Harakat ul-Mujahidin,2003,12,4,52,20,Car bomb,Asia,Pakistan,Political,2,0
Unknown Group,2012,4,4,2,1,Belt bomb,Asia,Iraq,Security,1,0
Unknown Group,2011,2,4,20,15,Belt bomb,Asia,Iraq,Political,1,0
Taliban (IEA),2008,3,2,9,1,Car bomb,Asia,Afghanistan,Security,1,0
Al-Qaeda in the Arabian Peninsula,2015,3,5,178,68,Belt bomb,Asia,Yemen,Civilian,1,0
Islamic State Yemen,2015,3,5,178,68,Belt bomb,Asia,Yemen,Civilian,1,0
Taliban (IEA),2008,3,1,5,2,Car bomb,Asia,Afghanistan,Security,1,0
Islamic Jihad Union,2008,3,1,5,2,Car bomb,Asia,Afghanistan,Security,1,0
Islamic State,2014,11,3,7,4,Car bomb,Asia,Iraq,Security,1,0
Taliban (IEA),2009,10,4,83,17,Car bomb,Asia,Afghanistan,Political,1,0
Unknown Group,2008,7,1,102,32,Belt bomb,Asia,Iraq,Civilian,0,3
Taliban (IEA),2010,9,1,1,0,Car bomb,Asia,Afghanistan,Security,1,0
Palestinian Islamic Jihad,2003,5,1,50,3,Belt bomb,Asia,Israel,Civilian,0,1
Unknown Group,2006,11,3,6,4,Car bomb,Asia,Iraq,Security,1,0
Al-Aqsa Martyrs Brigade,2008,2,1,11,1,Belt bomb,Asia,Israel,Civilian,1,0
Jabhat an-Nu_rah li-Ahl ash-Sh_m,2012,11,6,60,20,Car bomb,Asia,Syria,Security,1,0
Islamic State West Africa Province,2015,3,6,49,21,Belt bomb,Africa,Nigeria,Civilian,0,1
Taliban (IEA),2019,8,6,11,10,Unspecified PBIED,Asia,Afghanistan,Security,1,0
Unknown Group,2012,1,3,1,0,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2007,3,4,29,8,Car bomb,Asia,Iraq,Political,1,0
Islamic State,2019,5,1,0,0,Car bomb,Asia,Syria,Security,1,0
Jamaat-ul-Ahrar,2016,3,7,340,76,Belt bomb,Asia,Pakistan,Civilian,1,0
Tehrik-i-Taliban Pakistan,2012,11,4,24,3,Truck bomb,Asia,Pakistan,Security,1,0
Jabhat an-Nu_rah li-Ahl ash-Sh_m,2013,9,3,0,35,Truck bomb,Asia,Syria,Security,1,0
Unknown Group,2007,9,6,6,0,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2010,3,3,13,10,Belt bomb,Asia,Iraq,Civilian,1,0
Riyadus Salikhiin,2003,12,2,14,6,Belt bomb,Europe,Russia,Political,0,1
Taliban (IEA),2012,11,3,5,2,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,1985,3,5,10,7,Belt bomb,Asia,Iran,Political,1,0
Tehrik-i-Taliban Pakistan,2009,12,5,32,12,Car bomb,Asia,Pakistan,Security,2,0
Tehrik-i-Taliban Pakistan,2008,8,6,20,20,Car bomb,Asia,Pakistan,Security,1,0
Unknown Group,2008,12,1,50,16,Belt bomb,Asia,Iraq,Security,1,0
Islamic State,2016,10,7,0,0,Car bomb,Asia,Iraq,Security,1,0
Palestinian Islamic Jihad,2002,11,4,1,2,Belt bomb,Asia,Palestine,Security,1,0
Islamic State,2014,6,1,6,16,Truck bomb,Asia,Iraq,Security,1,0
Islamic State West Africa Province,2015,7,6,79,20,Belt bomb,Africa,Cameroon,Civilian,0,1
Unknown Group,2008,10,3,15,5,Car bomb,Asia,Pakistan,Security,1,0
Unknown Group,2009,5,2,16,11,Car bomb,Asia,Iraq,Security,1,0
Taliban (IEA),2006,6,2,0,2,Car bomb,Asia,Afghanistan,Security,1,0
Islamic State of Iraq,2008,2,7,5,3,Belt bomb,Asia,Iraq,Civilian,0,1
Unknown Group,2007,5,6,0,0,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2015,7,4,10,7,Car bomb,Asia,Iraq,Security,1,0
Taliban (IEA),2010,1,1,2,1,Motorcycle bomb,Asia,Afghanistan,Security,1,0
Taliban (IEA),2010,10,3,2,1,Belt bomb,Asia,Afghanistan,Security,1,0
Taliban (IEA),2010,10,7,9,1,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2008,10,3,6,2,Truck bomb,Africa,Somalia,Political,1,0
Islamic State of Iraq and Syria,2014,2,3,23,5,Car bomb,Asia,Iraq,Security,1,0
Lashkar-e Jhangvi al-Almi,2003,7,5,57,54,Belt bomb,Asia,Pakistan,Civilian,3,0
Liberation Tigers of Tamil Eelam,1998,5,4,0,1,Belt bomb,Asia,Sri Lanka,Security,0,1
Islamic State - Khorasan Province,2018,9,7,25,7,Motorcycle bomb,Asia,Afghanistan,Civilian,1,0
Unknown Group,2015,11,7,12,8,Belt bomb,Africa,Nigeria,Civilian,0,1
Islamic State,2014,7,3,0,16,Car bomb,Asia,Syria,Security,1,0
Abdullah Azzam Brigades,2014,2,3,129,11,Car bomb,Asia,Lebanon,Political,1,0
Al-Qaeda in Iraq,2004,12,6,40,17,Car bomb,Asia,Iraq,Political,1,0
Taliban (IEA),2011,1,1,4,3,Car bomb,Asia,Afghanistan,Security,1,0
Taliban (IEA),2012,4,5,1,2,Belt bomb,Asia,Afghanistan,Political,1,0
Unknown Group,2007,8,6,2,2,Car bomb,Asia,Pakistan,Security,1,0
Unknown Group,2007,7,3,2,12,Car bomb,Asia,Pakistan,Security,1,0
Taliban (IEA),2006,1,7,13,3,Car bomb,Asia,Afghanistan,Security,1,0
Islamic State,2019,3,6,8,2,Car bomb,Asia,Syria,Security,1,0
Tehrik-i-Taliban Pakistan,2006,11,3,39,43,Belt bomb,Asia,Pakistan,Security,1,0
Boko Haram (Shekau Faction),2017,9,1,43,15,Unspecified PBIED,Africa,Nigeria,Civilian,2,1
Unknown Group,2015,10,4,25,29,Unspecified,Africa,Nigeria,Civilian,1,0
Islamic State,2019,4,5,1,0,Belt bomb,Asia,Syria,Security,1,0
Boko Haram (Shekau Faction),2018,6,6,7,5,Unspecified PBIED,Africa,Nigeria,Civilian,1,0
Taliban (IEA),2007,6,1,5,0,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2008,2,1,0,1,Belt bomb,Asia,Iraq,Security,1,0
Unknown Group,2006,1,6,13,0,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2007,2,7,0,1,Belt bomb,Asia,Iraq,Security,1,0
Hamas,2001,12,6,170,11,Belt bomb,Asia,Israel,Civilian,2,0
Taliban (IEA),2007,6,1,0,1,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2006,6,6,9,3,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2004,3,2,10,2,Belt bomb,Americas,Bolivia,Political,1,0
Unknown Group,2004,6,2,37,10,Car bomb,Asia,Iraq,Political,3,0
Taliban (IEA),2011,5,6,23,6,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2010,12,1,20,5,Belt bomb,Asia,Iraq,Civilian,1,0
Taliban (IEA),2006,9,6,54,12,Belt bomb,Asia,Afghanistan,Political,1,0
Taliban (IEA),2005,12,5,3,0,Car bomb,Asia,Afghanistan,Security,1,0
Popular Front for the Liberation of Palestine,2001,10,3,2,0,Car bomb,Asia,Israel,Security,1,0
Unknown Group,2012,1,2,9,4,Car bomb,Asia,Iraq,Political,1,0
Unknown Group,2009,9,4,8,1,Car bomb,Asia,Iraq,Political,1,0
Unknown Group,2006,7,4,2,2,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2017,6,4,65,7,Unspecified PBIED,Asia,China,Civilian,1,0
Caucasus Emirate,2009,8,2,1,4,Belt bomb,Europe,Russia,Security,1,0
Unknown Group,2006,12,7,1,1,Belt bomb,Asia,Pakistan,Security,1,0
Unknown Group,2016,12,1,3,1,Car bomb,Asia,Afghanistan,Security,1,0
Boko Haram (Shekau Faction),2017,7,2,6,5,Belt bomb,Africa,Nigeria,Security,0,1
Unknown Group,2008,1,4,1,1,Other PBIED,Asia,Afghanistan,Security,1,0
Islamic State of Iraq,2011,1,3,16,2,Car bomb,Asia,Iraq,Civilian,1,0
Taliban (IEA),2011,9,2,4,1,Belt bomb,Asia,Afghanistan,Security,1,0
Taliban (IEA),2012,8,2,0,0,Belt bomb,Asia,Afghanistan,Political,1,0
Islamic State - Tripolitania Province,2016,1,4,200,65,Truck bomb,Africa,Libya,Security,1,0
Unknown Group,2016,8,6,0,0,Belt bomb,Asia,Syria,Security,1,0
Liberation Tigers of Tamil Eelam,2008,10,4,7,1,Belt bomb,Asia,Sri Lanka,Political,0,1
Jamaat-ul-Ahrar,2017,2,3,8,5,Unspecified,Asia,Pakistan,Political,1,0
Unknown Group,2008,9,6,12,12,Car bomb,Asia,Pakistan,Security,1,0
Unknown Group,2008,7,7,0,2,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2007,5,7,80,35,Truck bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2017,4,2,2,1,Belt bomb,Asia,Iraq,Security,1,0
Unknown Group,2016,10,5,4,0,Belt bomb,Asia,Pakistan,Security,1,0
Unknown Group,2007,9,7,15,8,Car bomb,Asia,Iraq,Security,1,0
Hamas,2001,7,1,0,0,Truck bomb,Asia,Palestine,Security,1,0
Unknown Group,2010,7,4,11,4,Truck bomb,Asia,Iraq,Security,1,0
Taliban (IEA),2010,2,4,5,0,Belt bomb,Asia,Afghanistan,Security,1,0
Islamic State,2014,10,1,31,11,Car bomb,Asia,Iraq,Security,1,0
Liberation Tigers of Tamil Eelam,2001,11,5,3,0,Belt bomb,Asia,Sri Lanka,Security,1,0
Unknown Group,2003,10,1,4,4,Car bomb,Asia,Iraq,Security,1,0
Al-Qaeda Central,2003,5,1,110,11,Car bomb,Asia,Saudi Arabia,Civilian,4,0
Unknown Group,2013,12,4,40,20,Belt bomb,Asia,Iraq,Civilian,1,0
Islamic State of Iraq,2009,9,1,18,7,Truck bomb,Asia,Iraq,Security,1,0
Unknown Group,2007,11,3,6,3,Belt bomb,Asia,Iraq,Security,1,0
Unknown Group,2013,1,6,5,2,Motorcycle bomb,Asia,Afghanistan,Security,1,0
Iraqi Government,2003,3,6,0,4,Car bomb,Asia,Iraq,Security,1,0
Al-Aqsa Martyrs Brigade,2002,2,3,3,0,Car bomb,Asia,Israel,Security,0,1
Unknown Group,2017,5,3,0,3,Car bomb,Asia,Iraq,Security,1,0
Jabhat Fatah al-Sham,2016,10,5,0,0,Car bomb,Asia,Syria,Security,1,0
Unknown Group,2015,7,7,7,13,Belt bomb,Africa,Cameroon,Security,0,1
Unknown Group,2015,10,4,20,5,Belt bomb,Africa,Nigeria,Civilian,0,4
Islamic State West Africa Province,2015,12,3,0,1,Belt bomb,Africa,Nigeria,Security,0,1
Unknown Group,2009,1,3,3,3,Car bomb,Asia,Iraq,Security,1,0
Islamic State West Africa Province,2015,9,2,2,0,Unspecified,Africa,Cameroon,Civilian,0,2
Unknown Group,2003,12,3,30,5,Car bomb,Asia,Iraq,Civilian,1,0
Islamic State of Iraq and Syria,2014,3,2,21,9,Truck bomb,Asia,Iraq,Security,1,0
Islamic State,2016,9,1,22,18,Belt bomb,Asia,Syria,Civilian,1,0
Unknown Group,2011,7,1,2,0,Belt bomb,Asia,Iraq,Security,1,0
Boko Haram (Shekau Faction),2017,3,3,4,1,Unspecified,Africa,Nigeria,Civilian,1,0
Islamic State of Iraq,2006,12,7,2,3,Belt bomb,Asia,Iraq,Security,1,0
Al-Shabaab,2010,8,2,0,33,Belt bomb,Africa,Somalia,Political,1,1
Hamas,2004,10,2,0,0,Belt bomb,Asia,Palestine,Security,1,0
Unknown Group,2007,3,7,3,1,Car bomb,Asia,Afghanistan,Security,1,0
Taliban (IEA),2009,5,3,21,7,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2003,10,1,10,13,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2007,6,7,14,6,Belt bomb,Asia,Iraq,Security,1,0
Unknown Group,2006,10,7,20,5,Belt bomb,Asia,Iraq,Civilian,1,0
Islamic State of Iraq and Syria,2014,5,5,6,6,Car bomb,Asia,Iraq,Security,1,0
Kurdistan Workers' Party,1999,3,6,3,0,Belt bomb,Asia,Turkey,Security,1,0
Hamas,2003,6,3,104,17,Belt bomb,Asia,Israel,Civilian,1,0
Taliban (IEA),2008,1,4,15,18,Motorcycle bomb,Asia,Afghanistan,Security,1,0
Al-Aqsa Martyrs Brigade,2002,5,1,53,2,Belt bomb,Asia,Israel,Civilian,1,0
The Group for the Support of Islam and Muslims,2017,5,7,9,4,Car bomb,Africa,Mali,Security,1,0
Unknown Group,2007,3,3,25,8,Belt bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2017,6,2,2,9,Unspecified,Asia,Iraq,Security,1,0
Unknown Group,2006,3,5,4,1,Belt bomb,Asia,Iraq,Civilian,1,0
Taliban (IEA),2011,8,4,6,2,Truck bomb,Asia,Afghanistan,Security,1,0
Taliban (IEA),2007,6,6,1,0,Car bomb,Asia,Afghanistan,Security,1,0
Islamic Movement of Uzbekistan,2010,9,5,28,4,Car bomb,Asia,Tajikistan,Security,1,0
Unknown Group,2011,1,2,9,1,Car bomb,Asia,Iraq,Political,1,0
Taliban (IEA),2018,10,3,4,7,Unspecified,Asia,Afghanistan,Security,1,0
Islamic State of Iraq and Syria,2013,12,2,18,10,Belt bomb,Asia,Iraq,Political,2,0
Unknown Group,2007,5,2,40,25,Belt bomb,Asia,Pakistan,Civilian,1,0
Unknown Group,2013,7,5,29,38,Belt bomb,Asia,Iraq,Civilian,1,0
Liberation Tigers of Tamil Eelam,2000,1,3,29,15,Belt bomb,Asia,Sri Lanka,Political,0,1
Al-Qaeda in the Arabian Peninsula,2012,2,6,50,26,Car bomb,Asia,Yemen,Political,1,0
Taliban (IEA),2006,8,4,13,22,Car bomb,Asia,Afghanistan,Security,1,0
Tehrik-i-Taliban Pakistan,2010,1,3,14,4,Belt bomb,Asia,Pakistan,Security,1,0
Unknown Group,2015,10,6,0,12,Belt bomb,Africa,Nigeria,Civilian,0,2
Islamic State - Sinai Province,2017,4,7,48,17,Belt bomb,Africa,Egypt,Civilian,1,0
Hay¡˜at Tahrir al-Sham,2017,3,2,0,0,Car bomb,Asia,Syria,Security,1,0
Unknown Group,2015,8,6,7,3,Belt bomb,Africa,Nigeria,Security,0,1
Taliban (IEA),2009,2,1,20,21,Belt bomb,Asia,Afghanistan,Security,1,0
Taliban (IEA),2008,2,4,3,0,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2007,10,4,550,143,Car bomb,Asia,Pakistan,Political,1,0
Unknown Group,2015,2,1,18,0,Belt bomb,Africa,Nigeria,Political,0,1
Unknown Group,2009,11,1,5,13,Motorcycle bomb,Asia,Pakistan,Security,1,0
Hezbollah,1988,10,3,11,7,Car bomb,Asia,Lebanon,Security,1,0
Unknown Group,2007,2,1,19,9,Belt bomb,Asia,Iraq,Civilian,1,0
Taliban (IEA),2008,5,2,2,0,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2007,2,6,331,135,Truck bomb,Asia,Iraq,Civilian,1,0
Al-Aqsa Martyrs Brigade,2002,8,2,1,0,Belt bomb,Asia,Israel,Civilian,1,0
Taliban (IEA),2008,2,5,0,2,Car bomb,Asia,Afghanistan,Security,1,0
Palestinian Islamic Jihad,2002,7,3,40,5,Belt bomb,Asia,Israel,Civilian,2,0
Syrian Social Nationalist Party,1985,7,3,2,1,Car bomb,Asia,Lebanon,Security,1,0
Taliban (IEA),2008,4,4,25,10,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2006,10,2,19,2,Belt bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2014,7,2,7,10,Car bomb,Asia,Iraq,Security,1,0
Taliban (IEA),2006,11,6,5,0,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2011,2,6,28,33,Belt bomb,Asia,Iraq,Civilian,1,0
Hamas,1993,10,1,30,0,Car bomb,Asia,Palestine,Security,1,0
Unknown Group,2010,11,7,6,2,Car bomb,Asia,Iraq,Security,1,0
Islamic State,2014,10,2,60,25,Car bomb,Asia,Iraq,Political,1,0
Liberation Tigers of Tamil Eelam,2000,10,1,20,2,Scuba bomb,Asia,Sri Lanka,Security,6,0
Mujahideen Shura Council Iraq,2006,9,7,2,2,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2006,11,3,2,0,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2006,5,7,18,13,Belt bomb,Asia,Iraq,Security,1,0
Unknown Group,2017,11,5,6,3,Motorcycle bomb,Asia,Pakistan,Security,1,0
Unknown Group,2010,5,5,5,1,Belt bomb,Asia,Afghanistan,Political,1,0
Hamas,2001,5,2,1,0,Belt bomb,Asia,Palestine,Security,2,0
Hamas,1996,3,1,130,14,Belt bomb,Asia,Israel,Civilian,1,0
Unknown Group,2008,7,1,9,2,Car bomb,Asia,Iraq,Security,1,0
Revolutionary People's Liberation Party/Front,2015,1,2,1,1,Belt bomb,Asia,Turkey,Security,0,1
Unknown Group,2015,5,2,0,0,Belt bomb,Asia,Pakistan,Security,1,0
Taliban (IEA),2010,7,5,3,1,Car bomb,Asia,Afghanistan,Security,1,0
Al-Aqsa Martyrs Brigade,2007,1,1,2,3,Other PBIED,Asia,Israel,Civilian,1,0
Palestinian Islamic Jihad,2007,1,1,2,3,Other PBIED,Asia,Israel,Civilian,1,0
Unknown Group,2006,9,1,26,13,Car bomb,Asia,Iraq,Security,1,0
Tehrik-i-Taliban Pakistan,2009,1,5,22,2,Car bomb,Asia,Pakistan,Security,1,0
Islamic State,2014,6,7,23,15,Belt bomb,Asia,Iraq,Security,1,0
Jamaatul Mujahideen Bangladesh,2017,4,4,2,0,Unspecified,Asia,Bangladesh,Security,1,0
Unknown Group,2015,7,7,23,33,Car bomb,Asia,Afghanistan,Security,1,0
Tehrik-i-Taliban Pakistan,2011,9,3,82,29,Belt bomb,Asia,Pakistan,Security,2,0
Unknown Group,2007,11,6,0,0,Motorcycle bomb,Asia,Afghanistan,Security,1,0
Taliban (IEA),2012,6,2,6,9,Motorcycle bomb,Asia,Afghanistan,Security,1,0
Babbar Khalsa International,1995,8,4,30,18,Belt bomb,Asia,India,Political,1,0
Unknown Group,2008,2,1,25,8,Belt bomb,Asia,Pakistan,Political,1,0
Islamic State of Iraq,2008,1,4,0,3,Belt bomb,Asia,Iraq,Security,1,0
Unknown Group,2003,12,1,30,8,Car bomb,Asia,Iraq,Security,2,0
Unknown Group,2007,1,3,1,2,Belt bomb,Asia,Afghanistan,Security,1,0
Hamas,1995,8,1,107,4,Belt bomb,Asia,Israel,Civilian,1,0
Unknown Group,2015,5,6,33,7,Belt bomb,Africa,Nigeria,Civilian,0,1
Unknown Group,2009,5,5,0,0,Car bomb,Asia,Afghanistan,Security,1,0
Tehrik-i-Taliban Pakistan,2012,3,5,9,13,Belt bomb,Asia,Pakistan,Security,1,0
Palestinian Islamic Jihad,2001,12,7,10,0,Belt bomb,Asia,Israel,Security,1,0
Unknown Group,2015,5,5,6,1,Other PBIED,Asia,Pakistan,Civilian,1,0
Unknown Group,2015,2,2,13,3,Belt bomb,Africa,Nigeria,Civilian,1,0
Unknown Group,2004,8,7,0,0,Backpack bomb,Europe,Russia,Political,1,0
Unknown Group,2005,3,3,6,3,Car bomb,Asia,Iraq,Security,1,0
Taliban (IEA),2007,8,6,4,3,Car bomb,Asia,Afghanistan,Security,1,0
Tehrik-i-Taliban Pakistan,2012,7,1,3,0,Belt bomb,Asia,Pakistan,Security,1,0
Hamas,1995,7,1,33,8,Belt bomb,Asia,Israel,Civilian,1,0
Boko Haram,2014,12,3,29,4,Belt bomb,Africa,Nigeria,Civilian,0,1
Mujahideen Shura Council Iraq,2009,10,5,0,0,Belt bomb,Europe,Russia,Security,1,0
Taliban (IEA),2009,6,3,0,15,Motorcycle bomb,Asia,Afghanistan,Security,1,0
Islamic State,2015,11,5,16,0,Belt bomb,Europe,France,Civilian,1,0
Islamic State - Tripolitania Province,2015,5,3,2,1,Car bomb,Africa,Libya,Security,1,0
Islamic State,2016,2,6,0,2,Car bomb,Asia,Syria,Security,1,0
Unknown Group,2006,6,2,10,3,Car bomb,Asia,Iraq,Civilian,1,0
Palestinian Islamic Jihad,1997,4,2,7,0,Belt bomb,Asia,Palestine,Civilian,1,0
Al-Qaeda in the Arabian Peninsula,2015,3,2,12,8,Car bomb,Asia,Yemen,Security,2,0
Taliban (IEA),2019,9,2,38,24,Motorcycle bomb,Asia,Afghanistan,Security,1,0
Tehrik-i-Taliban Pakistan,2009,12,5,80,35,Belt bomb,Asia,Pakistan,Security,2,0
Taliban (IEA),2008,11,3,42,6,Car bomb,Asia,Afghanistan,Political,1,0
Islamic State - Khorasan Province,2018,11,1,20,6,Belt bomb,Asia,Afghanistan,Civilian,1,0
Jamaat-ul-Ahrar,2019,5,3,24,13,Unspecified,Asia,Pakistan,Civilian,1,0
Taliban (IEA),2006,9,5,31,18,Car bomb,Asia,Afghanistan,Security,1,0
Tehrik-i-Taliban Pakistan,2010,7,1,14,1,Car bomb,Asia,Pakistan,Security,1,0
Islamic State,2016,8,2,7,10,Car bomb,Asia,Iraq,Security,2,0
Tehrik-i-Taliban Pakistan,2012,12,6,20,9,Belt bomb,Asia,Pakistan,Political,1,0
Islamic State,2017,3,3,28,5,Belt bomb,Asia,Syria,Civilian,1,0
Liberation Tigers of Tamil Eelam,2000,3,5,51,18,Truck bomb,Asia,Sri Lanka,Political,2,0
Unknown Group,2012,10,6,40,18,Car bomb,Asia,Pakistan,Security,1,0
Liberation Tigers of Tamil Eelam,1994,8,2,2,1,Belt bomb,Asia,Sri Lanka,Security,5,0
Taliban (IEA),2007,10,1,6,4,Belt bomb,Asia,Afghanistan,Security,1,0
Islamic State,2017,7,4,0,5,Car bomb,Asia,Syria,Security,1,0
Taliban (IEA),2011,7,3,4,5,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2006,5,3,0,0,Car bomb,Asia,Afghanistan,Security,1,0
Hezbollah,1996,3,3,8,1,Belt bomb,Asia,Lebanon,Security,1,0
Kurdistan Workers' Party,1996,10,2,9,4,Belt bomb,Asia,Turkey,Security,0,1
Tehrik-i-Taliban Pakistan,2009,9,1,0,4,Car bomb,Asia,Pakistan,Political,1,0
Unknown Group,2010,1,4,13,20,Belt bomb,Asia,Afghanistan,Civilian,1,0
Tehrik-i-Taliban Pakistan,2009,11,5,39,17,Car bomb,Asia,Pakistan,Security,1,0
Unknown Group,2018,12,2,3,7,Unspecified PBIED,Asia,Afghanistan,Security,1,0
Unknown Group,2008,9,5,15,2,Belt bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2009,12,4,2,1,Unspecified PBIED,Asia,Pakistan,Civilian,1,0
Unknown Group,2005,4,4,6,4,Belt bomb,Asia,Iraq,Security,1,0
Palestinian Islamic Jihad,2002,11,5,4,0,Boat bomb,Asia,Palestine,Security,2,0
Unknown Group,2006,11,4,8,8,Car bomb,Africa,Somalia,Security,0,1
Assirat al-Moustaqim,2003,5,5,15,2,Backpack bomb,Africa,Morocco,Civilian,2,0
Al-Qaeda Central,2003,5,5,15,2,Backpack bomb,Africa,Morocco,Civilian,2,0
Liberation Tigers of Tamil Eelam,2008,9,7,10,1,Motorcycle bomb,Asia,Sri Lanka,Security,1,0
Liberation Tigers of Tamil Eelam,1996,4,5,1,0,Boat bomb,Asia,Sri Lanka,Security,2,0
Hamas,2001,1,1,35,0,Car bomb,Asia,Israel,Civilian,1,0
Taliban (IEA),2008,11,3,2,5,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2018,5,2,5,5,Other PBIED,Africa,Nigeria,Security,1,0
Unknown Group,2008,2,2,7,14,Belt bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2006,11,3,15,3,Car bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2008,3,5,4,2,Motorcycle bomb,Asia,Afghanistan,Security,1,0
Islamic State - Tripolitania Province,2016,12,5,19,2,Belt bomb,Africa,Libya,Security,0,1
Unknown Group,2008,12,1,5,3,Belt bomb,Asia,Afghanistan,Political,1,0
Taliban (IEA),2009,8,2,19,5,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2010,5,4,0,1,Belt bomb,Asia,Pakistan,Security,1,0
Unknown Group,2016,10,3,0,0,Other PBIED,Americas,United States,Civilian,1,0
Unknown Group,2008,6,6,5,2,Car bomb,Asia,Iraq,Security,1,0
Islamic State,2014,12,5,0,5,Belt bomb,Asia,Iraq,Civilian,1,0
Al-Qaeda Central,2003,5,5,10,2,Backpack bomb,Africa,Morocco,Civilian,3,0
Assirat al-Moustaqim,2003,5,5,10,2,Backpack bomb,Africa,Morocco,Civilian,3,0
Ansar al-Islam,2003,2,3,0,3,Belt bomb,Asia,Iraq,Security,1,0
